KODM,10.115.50.52
Regal,remote-xicms-exm-svc.gp.ocean.com
Caribbean,10.120.11.40
NADM,10.9.200.52
NODM,10.114.114.50
VODM,10.112.242.50
EUDM,10.9.196.53
WEDM,10.9.184.53
ZUDM,10.9.192.53
NSDM,10.115.114.52
Royal,10.10.68.120
Sun,172.29.222.196
Sky,10.125.5.144
Sapphire,172.29.196.193
Majestic,10.124.178.51
Ruby,172.29.134.228
Grand,172.29.227.244
Crown,172.29.239.244
Ovation,10.118.50.52
Encore,10.117.242.52
Odyssey,10.117.50.52
Britannia,172.28.248.20
Diamond,172.29.204.194
Emerald,172.29.124.237
Coral,10.120.69.150
Caribbean,10.120.8.140
